nu,sigma,Test 1,Test 2,Class,Iterations to Inverse
-225,-225,TRUE,TRUE,4,2
-224,-2,TRUE,FALSE,1,60
-224,224,TRUE,FALSE,1,2
-223,-4,TRUE,FALSE,1,60
-223,-2,FALSE,FALSE,3,>450
-223,223,TRUE,FALSE,1,2
-223,224,FALSE,FALSE,3,2
-222,-6,TRUE,FALSE,1,60
-222,222,TRUE,FALSE,1,2
-221,-8,TRUE,FALSE,1,60
-221,221,TRUE,FALSE,1,2
-220,-10,TRUE,FALSE,1,60
-220,220,TRUE,FALSE,1,2
-219,-12,TRUE,FALSE,1,60
-219,219,TRUE,FALSE,1,2
-218,-14,TRUE,FALSE,1,60
-218,218,TRUE,FALSE,1,2
-217,-16,TRUE,FALSE,1,60
-217,217,TRUE,FALSE,1,2
-216,-18,TRUE,FALSE,1,60
-216,216,TRUE,FALSE,1,2
-215,-20,TRUE,FALSE,1,60
-215,215,TRUE,FALSE,1,2
-214,-22,TRUE,FALSE,1,60
-214,214,TRUE,FALSE,1,2
-213,-24,TRUE,FALSE,1,60
-213,213,TRUE,FALSE,1,2
-212,-26,TRUE,FALSE,1,60
-212,212,TRUE,FALSE,1,2
-211,-28,TRUE,FALSE,1,60
-211,211,TRUE,FALSE,1,2
-210,-30,TRUE,FALSE,1,60
-210,210,TRUE,FALSE,1,2
-209,-32,TRUE,FALSE,1,60
-209,209,TRUE,FALSE,1,2
-208,-34,TRUE,FALSE,1,60
-208,208,TRUE,FALSE,1,2
-207,-36,TRUE,FALSE,1,60
-207,207,TRUE,FALSE,1,2
-206,-38,TRUE,FALSE,1,60
-206,206,TRUE,FALSE,1,2
-205,-40,TRUE,FALSE,1,60
-205,205,TRUE,FALSE,1,2
-204,-42,TRUE,FALSE,1,60
-204,204,TRUE,FALSE,1,2
-203,-44,TRUE,FALSE,1,60
-203,203,TRUE,FALSE,1,2
-202,-46,TRUE,FALSE,1,60
-202,202,TRUE,FALSE,1,2
-201,-48,TRUE,FALSE,1,60
-201,201,TRUE,FALSE,1,2
-200,-50,TRUE,FALSE,1,60
-200,200,TRUE,FALSE,1,2
-199,-52,TRUE,FALSE,1,60
-199,199,TRUE,FALSE,1,2
-198,-54,TRUE,FALSE,1,60
-198,198,TRUE,FALSE,1,2
-197,-56,TRUE,FALSE,1,60
-197,197,TRUE,FALSE,1,2
-196,-58,TRUE,FALSE,1,60
-196,196,TRUE,FALSE,1,2
-195,-60,TRUE,FALSE,1,60
-195,195,TRUE,FALSE,1,2
-194,-62,TRUE,FALSE,1,60
-194,194,TRUE,FALSE,1,2
-193,-64,TRUE,FALSE,1,60
-193,193,TRUE,FALSE,1,2
-192,-66,TRUE,FALSE,1,60
-192,192,TRUE,FALSE,1,2
-191,-68,TRUE,FALSE,1,60
-191,191,TRUE,FALSE,1,2
-190,-70,TRUE,FALSE,1,60
-190,190,TRUE,FALSE,1,2
-189,-72,TRUE,FALSE,1,60
-189,189,TRUE,FALSE,1,2
-188,-74,TRUE,FALSE,1,60
-188,188,TRUE,FALSE,1,2
-187,-76,TRUE,FALSE,1,60
-187,187,TRUE,FALSE,1,2
-186,-78,TRUE,FALSE,1,60
-186,186,TRUE,FALSE,1,2
-185,-80,TRUE,FALSE,1,60
-185,185,TRUE,FALSE,1,2
-184,-82,TRUE,FALSE,1,60
-184,184,TRUE,FALSE,1,2
-183,-84,TRUE,FALSE,1,60
-183,183,TRUE,FALSE,1,2
-182,-86,TRUE,FALSE,1,60
-182,182,TRUE,FALSE,1,2
-181,-88,TRUE,FALSE,1,60
-181,181,TRUE,FALSE,1,2
-180,-90,TRUE,FALSE,1,60
-180,180,TRUE,FALSE,1,2
-179,-92,TRUE,FALSE,1,60
-179,179,TRUE,FALSE,1,2
-178,-94,TRUE,FALSE,1,60
-178,178,TRUE,FALSE,1,2
-177,-96,TRUE,FALSE,1,60
-177,177,TRUE,FALSE,1,2
-176,-98,TRUE,FALSE,1,60
-176,176,TRUE,FALSE,1,2
-175,-100,TRUE,FALSE,1,60
-175,175,TRUE,FALSE,1,2
-174,-102,TRUE,FALSE,1,60
-174,174,TRUE,FALSE,1,2
-173,-104,TRUE,FALSE,1,60
-173,173,TRUE,FALSE,1,2
-172,-106,TRUE,FALSE,1,60
-172,172,TRUE,FALSE,1,2
-171,-108,TRUE,FALSE,1,60
-171,171,TRUE,FALSE,1,2
-170,-110,TRUE,FALSE,1,60
-170,170,TRUE,FALSE,1,2
-169,-112,TRUE,FALSE,1,60
-169,169,TRUE,FALSE,1,2
-168,-114,TRUE,FALSE,1,60
-168,168,TRUE,FALSE,1,2
-167,-116,TRUE,FALSE,1,60
-167,167,TRUE,FALSE,1,2
-166,-118,TRUE,FALSE,1,60
-166,166,TRUE,FALSE,1,2
-165,-120,TRUE,FALSE,1,60
-165,165,TRUE,FALSE,1,2
-164,-122,TRUE,FALSE,1,60
-164,164,TRUE,FALSE,1,2
-163,-124,TRUE,FALSE,1,60
-163,163,TRUE,FALSE,1,2
-162,-126,TRUE,FALSE,1,60
-162,162,TRUE,FALSE,1,2
-161,-128,TRUE,FALSE,1,60
-161,161,TRUE,FALSE,1,2
-160,-130,TRUE,FALSE,1,60
-160,160,TRUE,FALSE,1,2
-159,-132,TRUE,FALSE,1,60
-159,159,TRUE,FALSE,1,2
-158,-134,TRUE,FALSE,1,60
-158,158,TRUE,FALSE,1,2
-157,-136,TRUE,FALSE,1,60
-157,157,TRUE,FALSE,1,2
-156,-138,TRUE,FALSE,1,60
-156,156,TRUE,FALSE,1,2
-155,-140,TRUE,FALSE,1,60
-155,155,TRUE,FALSE,1,2
-154,-142,TRUE,FALSE,1,60
-154,154,TRUE,FALSE,1,2
-153,-144,TRUE,FALSE,1,60
-153,153,TRUE,FALSE,1,2
-152,-146,TRUE,FALSE,1,60
-152,152,TRUE,FALSE,1,2
-151,-148,TRUE,FALSE,1,60
-151,151,TRUE,FALSE,1,2
-150,-150,TRUE,FALSE,1,60
-150,150,TRUE,FALSE,1,2
-149,-152,TRUE,FALSE,1,60
-149,149,TRUE,FALSE,1,2
-148,-154,TRUE,FALSE,1,60
-148,148,TRUE,FALSE,1,2
-147,-156,TRUE,FALSE,1,60
-147,147,TRUE,FALSE,1,2
-146,-158,TRUE,FALSE,1,60
-146,146,TRUE,FALSE,1,2
-145,-160,TRUE,FALSE,1,60
-145,145,TRUE,FALSE,1,2
-144,-162,TRUE,FALSE,1,60
-144,144,TRUE,FALSE,1,2
-143,-164,TRUE,FALSE,1,60
-143,143,TRUE,FALSE,1,2
-142,-166,TRUE,FALSE,1,60
-142,142,TRUE,FALSE,1,2
-141,-168,TRUE,FALSE,1,60
-141,141,TRUE,FALSE,1,2
-140,-170,TRUE,FALSE,1,60
-140,140,TRUE,FALSE,1,2
-139,-172,TRUE,FALSE,1,60
-139,139,TRUE,FALSE,1,2
-138,-174,TRUE,FALSE,1,60
-138,138,TRUE,FALSE,1,2
-137,-176,TRUE,FALSE,1,60
-137,137,TRUE,FALSE,1,2
-136,-178,TRUE,FALSE,1,60
-136,136,TRUE,FALSE,1,2
-135,-180,TRUE,FALSE,1,60
-135,135,TRUE,FALSE,1,2
-134,-182,TRUE,FALSE,1,60
-134,134,TRUE,FALSE,1,2
-133,-184,TRUE,FALSE,1,60
-133,133,TRUE,FALSE,1,2
-132,-186,TRUE,FALSE,1,60
-132,132,TRUE,FALSE,1,2
-131,-188,TRUE,FALSE,1,60
-131,131,TRUE,FALSE,1,2
-130,-190,TRUE,FALSE,1,60
-130,130,TRUE,FALSE,1,2
-129,-192,TRUE,FALSE,1,60
-129,129,TRUE,FALSE,1,2
-128,-194,TRUE,FALSE,1,60
-128,128,TRUE,FALSE,1,2
-127,-196,TRUE,FALSE,1,60
-127,127,TRUE,FALSE,1,2
-126,-198,TRUE,FALSE,1,60
-126,126,TRUE,FALSE,1,2
-125,-200,TRUE,FALSE,1,60
-125,125,TRUE,FALSE,1,2
-124,-202,TRUE,FALSE,1,60
-124,124,TRUE,FALSE,1,2
-123,-204,TRUE,FALSE,1,60
-123,123,TRUE,FALSE,1,2
-122,-206,TRUE,FALSE,1,60
-122,122,TRUE,FALSE,1,2
-121,-208,TRUE,FALSE,1,60
-121,121,TRUE,FALSE,1,2
-120,-210,TRUE,FALSE,1,60
-120,120,TRUE,FALSE,1,2
-119,-212,TRUE,FALSE,1,60
-119,119,TRUE,FALSE,1,2
-118,-214,TRUE,FALSE,1,60
-118,118,TRUE,FALSE,1,2
-117,-216,TRUE,FALSE,1,60
-117,117,TRUE,FALSE,1,2
-116,-218,TRUE,FALSE,1,60
-116,116,TRUE,FALSE,1,2
-115,-220,TRUE,FALSE,1,60
-115,115,TRUE,FALSE,1,2
-114,-222,TRUE,FALSE,1,60
-114,114,TRUE,FALSE,1,2
-113,-224,TRUE,FALSE,1,60
-113,113,TRUE,FALSE,1,2
-112,224,TRUE,FALSE,1,60
-111,222,TRUE,FALSE,1,60
-110,220,TRUE,FALSE,1,60
-109,218,TRUE,FALSE,1,60
-108,216,TRUE,FALSE,1,60
-107,214,TRUE,FALSE,1,60
-106,212,TRUE,FALSE,1,60
-105,210,TRUE,FALSE,1,60
-104,208,TRUE,FALSE,1,60
-103,206,TRUE,FALSE,1,60
-102,204,TRUE,FALSE,1,60
-101,202,TRUE,FALSE,1,60
-100,200,TRUE,FALSE,1,60
-99,198,TRUE,FALSE,1,60
-98,196,TRUE,FALSE,1,60
-97,194,TRUE,FALSE,1,60
-96,192,TRUE,FALSE,1,60
-95,190,TRUE,FALSE,1,60
-94,188,TRUE,FALSE,1,60
-93,186,TRUE,FALSE,1,60
-92,184,TRUE,FALSE,1,60
-91,182,TRUE,FALSE,1,60
-90,180,TRUE,FALSE,1,60
-89,178,TRUE,FALSE,1,60
-88,176,TRUE,FALSE,1,60
-87,174,TRUE,FALSE,1,60
-86,172,TRUE,FALSE,1,60
-85,170,TRUE,FALSE,1,60
-84,168,TRUE,FALSE,1,60
-83,166,TRUE,FALSE,1,60
-82,164,TRUE,FALSE,1,60
-81,162,TRUE,FALSE,1,60
-80,160,TRUE,FALSE,1,60
-79,158,TRUE,FALSE,1,60
-78,156,TRUE,FALSE,1,60
-77,154,TRUE,FALSE,1,60
-76,152,TRUE,FALSE,1,60
-74,-154,TRUE,FALSE,1,30
-73,-158,TRUE,FALSE,1,30
